"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dropout","input_shape","learning_rate","method","metric.goal","metric.name","neurons_FC1","neurons_FC2","num_classes","optimizer_name","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.num_classes.distribution","parameters.num_classes.max","parameters.num_classes.min","program","weight_decay","epoch","global_step","test_acc","test_loss","train_acc_epoch","train_acc_step","train_loss_epoch","train_loss_step","trainer/global_step","val_acc","val_loss"
"daily-sweep-12","finished","-","","","2025-10-20T20:09:25.000Z","123","9su24eg8","0","[3,32,32]","0.0013499019056802744","","","","512","128","16","adam","","","","","","","","0.0001","5","7035","0.7335000038146973","0.7763646245002747","0.7636666893959045","0.8125","0.6711643934249878","0.682651162147522","7035","0.7378000020980835","0.7678869962692261"
"earnest-sweep-11","finished","-","","","2025-10-20T20:07:17.000Z","124","9su24eg8","0","[3,32,32]","0.0005254985364391022","","","","512","128","17","adam","","","","","","","","0.0001","5","7035","0.7434999942779541","0.7594839930534363","0.7716666460037231","0.75","0.6483458876609802","0.8496224880218506","7035","0.7336000204086304","0.7614166140556335"
"floral-sweep-10","finished","-","","","2025-10-20T20:05:10.000Z","124","9su24eg8","0","[3,32,32]","0.0009516857417848474","","","","512","128","5","adam","","","","","","","","0.0001","5","7035","0.7382000088691711","0.780977725982666","0.7732222080230713","0.8125","0.6432514190673828","0.5637029409408569","7035","0.7211999893188477","0.795997679233551"
"autumn-sweep-9","finished","-","","","2025-10-20T20:03:03.000Z","123","9su24eg8","0","[3,32,32]","0.0017569287653442984","","","","512","128","12","adam","","","","","","","","0.0001","5","7035","0.7293999791145325","0.800360918045044","0.7770000100135803","0.6875","0.6379165053367615","1.0641566514968872","7035","0.729200005531311","0.8053575158119202"
"polished-sweep-8","finished","-","","","2025-10-20T20:00:56.000Z","126","9su24eg8","0","[3,32,32]","0.001326284868928208","","","","512","128","20","adam","","","","","","","","0.0001","5","7035","0.7383999824523926","0.752834677696228","0.7669333219528198","0.71875","0.6629990935325623","0.7309145927429199","7035","0.7297999858856201","0.7827301025390625"
"exalted-sweep-7","crashed","-","","","2025-10-08T13:27:31.000Z","120","9su24eg8","","[3,32,32]","0.001983309525572863","","","","","","12","","","","","","","","","","3","4221","","","0.7050222158432007","0.84375","0.8375524282455444","0.5137763023376465","5199","0.7056000232696533","0.8589248061180115"
"clean-sweep-6","finished","-","","","2025-10-08T13:24:59.000Z","149","9su24eg8","","[3,32,32]","0.0005761935047393288","","","","","","11","","","","","","","","","","5","7035","0.7192000150680542","0.8312034010887146","0.7778221964836121","0.8125","0.6276102662086487","0.4623543918132782","7035","0.7426000237464905","0.7423458099365234"
"lunar-sweep-5","finished","-","","","2025-10-08T13:22:27.000Z","150","9su24eg8","","[3,32,32]","0.0015005047080190856","","","","","","15","","","","","","","","","","5","7035","0.7289999723434448","0.8024622797966003","0.7652444243431091","0.6875","0.6635499596595764","0.7300888299942017","7035","0.7269999980926514","0.8037986159324646"
"mild-sweep-4","finished","-","","","2025-10-08T13:19:49.000Z","154","9su24eg8","","[3,32,32]","0.0019091864177721836","","","","","","11","","","","","","","","","","5","7035","0.7402999997138977","0.7719966173171997","0.7969111204147339","0.6875","0.5734590888023376","0.8038210868835449","7035","0.741599977016449","0.7406421899795532"
"blooming-sweep-3","finished","-","","","2025-10-08T13:17:22.000Z","142","9su24eg8","","[3,32,32]","0.0005004653898997066","","","","","","8","","","","","","","","","","5","7035","0.7339000105857849","0.7962223887443542","0.7689999938011169","0.71875","0.6526612639427185","0.7361868619918823","7035","0.7365999817848206","0.8020074963569641"
"crisp-sweep-2","finished","-","","","2025-10-08T13:14:55.000Z","146","9su24eg8","","[3,32,32]","0.0007583926321291482","","","","","","18","","","","","","","","","","5","7035","0.7254999876022339","0.805091917514801","0.784600019454956","0.875","0.6189645528793335","0.3893430829048157","7035","0.72079998254776","0.8240221738815308"
"absurd-sweep-1","finished","-","","","2025-10-08T13:12:18.000Z","142","9su24eg8","","[3,32,32]","0.0011255330070538611","","","","","","16","","","","","","","","","","5","7035","0.7346000075340271","0.7857123017311096","0.7921777963638306","0.84375","0.5969525575637817","0.5910736918449402","7035","0.73580002784729","0.7682965993881226"
"zany-snowball-3","finished","-","","","2025-10-08T13:02:02.000Z","135","","","[3,32,32]","0.001","","","","","","10","","","","","","","","","","5","7035","0.7271000146865845","0.8181824684143066","0.8011555671691895","0.75","0.570820689201355","0.6018173098564148","7035","0.7235999703407288","0.8049436807632446"
"major-forest-1","finished","-","","","2025-10-08T12:47:40.000Z","138","","","[3,32,32]","0.001","","","","","","10","","","","","","","","","","5","7035","0.7081000208854675","0.8948719501495361","0.7718666791915894","0.78125","0.6499490141868591","0.5114650130271912","7035","0.699999988079071","0.9126794934272766"
